,Age Group,Age,Education,Marital_Status,Income Group,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Children,Month,Year,TotalPurchases,TotalProducts,AtLeast1Cmp
44,Young Adult,39,Master,Married,Low Income,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,1,10,2013,5,31,0
45,Young Adult,38,Graduation,Single,High Income,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,6,2014,15,984,0
46,Young Adult,18,Master,Married,Low Income,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,11,2012,7,122,0
47,Middle Aged,46,Graduation,Together,Lower Middle,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,1,5,2013,4,55,0
48,Old Adult,63,Graduation,Single,Upper Middle,51622.0947845805,96,48,5,48,6,10,7,3,2,1,4,6,0,3,1,2014,7,124,0
49,Old Adult,60,PhD,Married,High Income,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,2,11,2012,19,1319,0
50,Middle Aged,57,Graduation,Widow,Upper Middle,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,1,5,2014,16,507,0
51,Middle Aged,50,Master,Married,High Income,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,8,2012,28,1693,0
52,Young Adult,37,Graduation,Single,Lower Middle,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,1,1,2013,5,72,0
53,Young Adult,37,Graduation,Divorced,High Income,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,0,0,6,2014,20,1617,1
54,Young Adult,36,Graduation,Married,Upper Middle,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,2,6,2013,16,606,0
55,Middle Aged,59,Master,Together,High Income,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,11,2012,26,1957,1
56,Middle Aged,48,Graduation,Divorced,High Income,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,4,2013,20,1093,0
57,Young Adult,26,Graduation,Single,Low Income,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,1,4,2014,5,29,0
58,Young Adult,32,Graduation,Single,Upper Middle,51622.0947845805,57,11,3,22,2,2,6,2,2,0,3,6,0,1,6,2013,5,46,0
59,Middle Aged,46,PhD,Married,Upper Middle,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,1,3,2014,16,518,0
60,Young Adult,32,Master,Single,High Income,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,0,7,2013,20,1438,1
61,Young Adult,39,Graduation,Together,Upper Middle,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,2,9,2012,18,612,0
62,Old Adult,62,Graduation,Single,Upper Middle,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,1,2,2013,20,884,0
63,Old Adult,63,PhD,Widow,Upper Middle,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,1,6,2013,18,606,0
64,Old Adult,66,Graduation,Together,High Income,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,12,2013,15,1076,0
65,Middle Aged,43,Graduation,Married,Low Income,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,1,5,2013,4,34,0
66,Middle Aged,47,Graduation,Together,Low Income,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,2,5,2014,3,11,0
67,Young Adult,35,Master,Single,High Income,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,0,1,3,2014,31,1274,1
68,Middle Aged,56,Graduation,Together,High Income,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,1,9,2013,17,653,0
69,Middle Aged,44,Graduation,Together,High Income,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,3,4,2013,12,1562,0
70,Old Adult,60,Master,Married,Upper Middle,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,9,2012,18,1253,0
71,Middle Aged,41,Master,Married,Upper Middle,51622.0947845805,25,25,3,43,17,4,17,3,3,0,3,8,0,1,9,2012,6,109,0
72,Middle Aged,55,Graduation,Married,Upper Middle,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,1,3,2013,26,863,0
73,Young Adult,39,PhD,Married,Upper Middle,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,2,4,2013,19,661,1
74,Old Adult,62,Graduation,Married,Low Income,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,4,2014,7,65,0
75,Young Adult,37,Graduation,Divorced,Lower Middle,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,1,12,2012,3,13,0
76,Middle Aged,42,Master,Married,High Income,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,8,2012,18,1890,0
77,Young Adult,38,Graduation,Single,High Income,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,0,0,10,2012,22,2209,1
78,Young Adult,38,Master,Together,Low Income,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,1,0,9,2013,3,18,0
79,Middle Aged,49,Graduation,Together,Upper Middle,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,0,0,1,2013,19,692,1
80,Young Adult,29,Graduation,Single,Low Income,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,1,8,2012,8,165,0
81,Middle Aged,45,Graduation,Married,Low Income,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,1,6,2013,3,16,0
82,Middle Aged,41,Master,Married,Low Income,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,1,7,2013,6,79,0
83,Middle Aged,51,Master,Together,Lower Middle,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,5,2013,10,318,0
84,Young Adult,27,Graduation,Divorced,High Income,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,2,2014,26,778,0
85,Middle Aged,54,Graduation,Married,Low Income,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,2,8,2013,5,56,0
86,Middle Aged,44,Master,Married,Lower Middle,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,2,7,2013,8,151,1
87,Middle Aged,57,Graduation,Single,Lower Middle,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,5,2014,13,372,1
88,Middle Aged,41,Graduation,Married,High Income,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,5,2014,18,1366,1
89,Middle Aged,47,Graduation,Together,Upper Middle,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,1,1,2014,9,194,0
90,Middle Aged,57,PhD,Married,Upper Middle,51622.0947845805,4,230,42,192,49,37,53,12,7,2,8,9,0,3,11,2012,17,603,0
91,Middle Aged,57,Graduation,Single,Upper Middle,51622.0947845805,45,7,0,8,2,0,1,1,1,0,2,7,0,2,5,2014,3,18,0
92,Middle Aged,41,Master,Together,Upper Middle,51622.0947845805,87,445,37,359,98,28,18,1,2,4,8,1,0,0,11,2013,14,985,0
93,Middle Aged,42,Master,Single,Lower Middle,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,1,3,2014,4,32,0
94,Middle Aged,44,PhD,Married,Low Income,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,1,5,2014,7,43,0
95,Young Adult,31,Graduation,Married,Low Income,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,1,5,2014,5,45,0
96,Middle Aged,54,Graduation,Widow,Lower Middle,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,11,2012,17,606,1
97,Middle Aged,42,Graduation,Divorced,Upper Middle,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,2,4,2013,5,63,0
98,Old Adult,63,Master,Married,High Income,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,12,2013,24,978,1
99,Young Adult,31,PhD,Married,Lower Middle,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,6,2013,14,410,0
100,Middle Aged,54,Master,Single,Lower Middle,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,1,7,2013,5,72,0
101,Middle Aged,55,PhD,Single,Low Income,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,1,3,2014,5,55,0
102,Young Adult,35,Graduation,Together,High Income,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,1,4,2013,25,1169,0
103,Old Adult,69,PhD,Married,Upper Middle,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,5,2013,15,1120,0
104,Middle Aged,55,Graduation,Married,High Income,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,5,2014,19,1097,0
105,Young Adult,35,Basic,Together,Low Income,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,1,12,2013,4,29,0
106,Middle Aged,50,Graduation,Married,Lower Middle,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,2,9,2013,9,187,0
107,Middle Aged,45,Graduation,Married,Upper Middle,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,2,2,2013,22,910,0
108,Young Adult,36,Graduation,Single,Lower Middle,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,1,12,2012,7,145,0
109,Middle Aged,54,Master,Married,High Income,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,12,2012,13,850,0
110,Young Adult,35,Graduation,Together,High Income,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,1,11,2013,23,969,0
111,Young Adult,23,PhD,Single,High Income,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,0,11,2012,16,1820,1
112,Middle Aged,51,Master,Together,Upper Middle,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,6,2014,17,608,1
113,Young Adult,23,Graduation,Single,High Income,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,0,1,2013,24,730,1
114,Young Adult,34,PhD,Married,Lower Middle,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,1,12,2012,16,551,0
115,Middle Aged,52,Graduation,Single,Lower Middle,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,2,9,2013,6,114,0
116,Middle Aged,44,Graduation,Married,High Income,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,2014,15,1724,1
117,Young Adult,36,Master,Married,Lower Middle,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,1,2,2013,15,577,0
118,Middle Aged,47,Master,Together,Low Income,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,2,7,2013,5,81,0
119,Middle Aged,45,Graduation,Together,Low Income,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,1,11,2013,5,33,0
120,Old Adult,61,Master,Together,Upper Middle,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,1,6,2013,18,660,0
121,Middle Aged,47,Master,Single,Low Income,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,1,2,2014,6,80,0
122,Young Adult,29,Master,Married,Low Income,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,2,9,2013,4,30,0
123,Young Adult,38,Graduation,Divorced,Low Income,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,1,4,2013,4,43,0
124,Young Adult,31,Graduation,Single,High Income,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,0,3,2013,27,1135,1
125,Middle Aged,49,Master,Together,High Income,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,2,2013,14,559,0
126,Young Adult,30,Graduation,Single,High Income,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,4,2013,15,1923,0
127,Old Adult,61,Master,Married,Upper Middle,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,2,6,2014,6,90,0
128,Middle Aged,53,PhD,Married,Upper Middle,51622.0947845805,23,352,0,27,10,0,15,3,6,1,7,6,0,1,7,2013,14,404,0
129,Middle Aged,58,PhD,Together,High Income,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,2,5,2014,19,661,0
130,Old Adult,62,Graduation,Married,Upper Middle,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,1,9,2013,14,463,0
131,Middle Aged,56,Master,Single,Upper Middle,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,2,3,2013,18,632,0
132,Middle Aged,45,Graduation,Married,High Income,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,2,2014,18,725,0
133,Middle Aged,51,Graduation,Married,Upper Middle,51622.0947845805,96,231,65,196,38,71,124,1,6,5,7,4,0,1,8,2013,18,725,0
134,Middle Aged,50,PhD,Married,Lower Middle,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,2,8,2013,11,279,0
135,Middle Aged,47,PhD,Together,Upper Middle,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,0,3,2013,22,1482,1
136,Young Adult,38,Basic,Divorced,Low Income,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,1,8,2012,4,29,0
137,Middle Aged,55,PhD,Married,Low Income,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,3,7,2013,6,106,0
138,Middle Aged,41,PhD,Single,Lower Middle,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,0,2,5,2014,4,49,1
139,Middle Aged,49,PhD,Divorced,Lower Middle,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,2,7,2013,5,38,0
140,Young Adult,22,Master,Single,High Income,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,10,2012,21,2077,0
141,Young Adult,38,Master,Together,Upper Middle,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,1,11,2013,15,1053,0
142,Middle Aged,52,Graduation,Married,High Income,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,4,2013,22,1385,0
143,Middle Aged,40,PhD,Single,High Income,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,1,8,2013,22,871,0
144,Young Adult,26,Graduation,Together,Lower Middle,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,1,3,2013,9,312,0
145,Young Adult,38,Graduation,Married,Upper Middle,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,2,10,2012,12,877,0
146,Young Adult,39,Graduation,Married,Low Income,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,1,10,2012,5,68,0
147,Young Adult,33,Graduation,Together,Lower Middle,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,1,1,8,2013,3,22,0
148,Middle Aged,41,Master,Married,Lower Middle,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,3,8,2012,9,211,0
149,Middle Aged,48,Master,Married,Lower Middle,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,6,2014,7,127,0
150,Old Adult,61,Master,Married,Upper Middle,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,2,4,2014,15,459,0
151,Middle Aged,45,Graduation,Married,Upper Middle,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,1,3,2014,15,460,1
152,Middle Aged,42,Master,Together,Lower Middle,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,1,12,2012,13,429,0
153,Young Adult,26,Graduation,Single,Low Income,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,1,5,2014,7,89,0
154,Old Adult,62,PhD,Together,Upper Middle,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,1,10,2012,24,1021,0
155,Old Adult,65,Graduation,Together,High Income,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,0,2,2013,20,1381,1
156,Middle Aged,56,Graduation,Single,Lower Middle,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,1,7,2013,12,306,0
157,Young Adult,36,Graduation,Single,Upper Middle,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,3,9,2013,3,18,0
158,Young Adult,37,Graduation,Together,Upper Middle,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,1,10,2013,8,162,0
159,Middle Aged,59,Graduation,Single,High Income,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,8,2013,17,1231,0
160,Middle Aged,56,Master,Single,Low Income,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,3,7,2013,3,13,0
161,Old Adult,69,PhD,Married,High Income,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,11,2012,25,1706,0
162,Young Adult,30,Graduation,Married,Low Income,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,1,1,2014,7,121,0
163,Young Adult,39,PhD,Divorced,High Income,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,5,2013,19,1293,0
165,Middle Aged,48,Graduation,Together,Lower Middle,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,3,11,2013,6,88,0
166,Old Adult,61,Graduation,Divorced,Upper Middle,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,0,0,11,2013,17,421,1
167,Middle Aged,55,Graduation,Divorced,Upper Middle,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,0,8,2013,11,259,1
168,Young Adult,26,Graduation,Single,Upper Middle,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,11,2013,14,1117,0
169,Middle Aged,57,Graduation,Together,Low Income,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,2,2,2014,6,89,0
170,Middle Aged,49,Graduation,Together,Low Income,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,2,4,2014,4,36,0
171,Young Adult,32,Graduation,Married,Low Income,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,1,7,2013,5,57,0
172,Middle Aged,44,Graduation,Married,Lower Middle,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,2,4,2014,7,148,0
173,Middle Aged,55,PhD,Together,Upper Middle,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,2,1,2014,6,93,0
174,Middle Aged,47,Graduation,Single,Upper Middle,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,0,1,4,2014,6,119,1
175,Young Adult,39,PhD,Married,High Income,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,1,9,2012,27,1835,0
176,Old Adult,66,PhD,Married,High Income,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,0,12,2012,24,1318,1
177,Middle Aged,44,PhD,Married,Lower Middle,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,2,5,2014,5,45,0
178,Middle Aged,55,Graduation,Together,Lower Middle,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,3,6,2014,3,10,0
179,Old Adult,63,Master,Married,High Income,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,12,2013,24,978,1
180,Young Adult,38,PhD,Married,Upper Middle,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,1,5,2014,9,191,0
181,Young Adult,26,Master,Married,Low Income,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,1,5,2014,6,57,0
182,Old Adult,68,Master,Married,Upper Middle,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,9,2013,23,1033,0
183,Young Adult,30,Master,Married,Low Income,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,1,1,2014,5,66,0
184,Middle Aged,53,Basic,Married,Low Income,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,6,2014,5,43,0
185,Young Adult,31,Graduation,Married,Low Income,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,1,12,2012,4,50,0
186,Middle Aged,44,PhD,Single,Low Income,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,1,3,2014,5,39,0
187,Middle Aged,48,Graduation,Married,Upper Middle,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,1,8,2013,16,608,0
188,Young Adult,38,Graduation,Married,High Income,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,3,2013,23,1581,0
189,Middle Aged,50,PhD,Married,Lower Middle,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,2,2,2013,5,68,0
190,Young Adult,36,Basic,Together,Low Income,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,0,1,9,2012,4,80,1
191,Young Adult,25,PhD,Together,Upper Middle,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,5,2013,27,1282,0
193,Young Adult,26,Graduation,Married,Lower Middle,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,1,5,2013,6,91,0
194,Middle Aged,41,Graduation,Married,Upper Middle,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,2,2,2013,12,315,0
195,Young Adult,37,Graduation,Married,Low Income,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,2,12,2013,4,31,0
196,Young Adult,34,Master,Married,High Income,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,5,2014,22,834,0
197,Old Adult,60,Graduation,Married,High Income,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,9,2013,16,1600,1
198,Old Adult,60,Graduation,Married,High Income,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,1,2013,16,1270,0
199,Middle Aged,41,PhD,Single,Lower Middle,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,0,2,3,2014,9,263,1
200,Old Adult,62,Graduation,Divorced,High Income,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,1,6,2014,16,535,1
201,Middle Aged,46,Graduation,Single,High Income,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,12,2013,17,1295,0
202,Young Adult,36,Graduation,Divorced,Upper Middle,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,1,10,2013,26,1150,0
